id,year,decade,dimensions,medium,provenance,title,url,country,creditline,designer,designer_id,designer_url,designer_gender,image_b,image_s,css4_colors,color,area,y
18617397,1978.0,1970.0,H x W: 100.7 x 63.7 cm (39 5/8 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Herman Miller, Summer Picnic, July 29, 1978",https://collection.cooperhewitt.org/objects/18617397/,United States,Gift of Various Donors,Stephen Frykholm,18042365,https://collection.cooperhewitt.org/people/18042365/,Boy,https://images.collection.cooperhewitt.org/80017_3bdb41a1c723a387_b.jpg,https://images.collection.cooperhewitt.org/80017_3bdb41a1c723a387_sq.jpg,"['#d2b48c', '#2f4f4f', '#8fbc8f', '#dcdcdc', '#808080']",#d2b48c,6414.59,4
18617399,1976.0,1970.0,100.6 x 63.6 cm (39 5/8 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Summer Picnic, 1976",https://collection.cooperhewitt.org/objects/18617399/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/80018_e92dbc123ee3a473_b.jpg,https://images.collection.cooperhewitt.org/80018_e92dbc123ee3a473_sq.jpg,"['#a0522d', '#daa520', '#bc8f8f', '#faebd7', '#556b2f']",#a0522d,6398.16,3
18617401,1975.0,1970.0,100.6 x 63.7 cm (39 5/8 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Summer Picnic, 1975",https://collection.cooperhewitt.org/objects/18617401/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/80019_0dcf14cccceae131_b.jpg,https://images.collection.cooperhewitt.org/80019_0dcf14cccceae131_sq.jpg,"['#8b4513', '#d2b48c', '#808080', '#000000']",#8b4513,6408.22,1
18617403,1972.0,1970.0,H x W: 96.5 x 61.5 cm (38 in. x 24 3/16 in.),offset lithograph on paper,1981: acquired by Museum,herman miller,https://collection.cooperhewitt.org/objects/18617403/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/65141_28667416fa1ef2be_b.jpg,https://images.collection.cooperhewitt.org/65141_28667416fa1ef2be_sq.jpg,"['#ffd700', '#c71585', '#800080', '#191970', '#000000']",#ffd700,5934.75,3
18617405,1974.0,1970.0,H x W: 95.5 x 63.9 cm (37 5/8 x 25 3/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,Congressman Dick Vanderveen,https://collection.cooperhewitt.org/objects/18617405/,United States,Gift of Various Donors,Stephen Frykholm,18042365,https://collection.cooperhewitt.org/people/18042365/,Boy,https://images.collection.cooperhewitt.org/80020_f69a6c67e0b4008f_b.jpg,https://images.collection.cooperhewitt.org/80020_f69a6c67e0b4008f_sq.jpg,"['#8b4513', '#daa520', '#cd853f', '#6b8e23', '#191970']",#8b4513,6102.45,2
18617407,1974.0,1970.0,H x W: 100.5 x 63.6 cm (39 9/16 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Herman Miller, Summer Picnic, August 16, 1974",https://collection.cooperhewitt.org/objects/18617407/,United States,Gift of Various Donors,Stephen Frykholm,18042365,https://collection.cooperhewitt.org/people/18042365/,Boy,https://images.collection.cooperhewitt.org/80021_b459fcaf7e14c726_b.jpg,https://images.collection.cooperhewitt.org/80021_b459fcaf7e14c726_sq.jpg,"['#f5f5dc', '#cd853f', '#daa520', '#556b2f', '#eee8aa']",#f5f5dc,6391.8,3
18617411,1973.0,1970.0,100.7 x 63.6 cm (39 5/8 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Herman Miller, Summer Picnic, August 17, 1973",https://collection.cooperhewitt.org/objects/18617411/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/80022_c74ed5ce32062a3d_b.jpg,https://images.collection.cooperhewitt.org/80022_c74ed5ce32062a3d_sq.jpg,"['#8b4513', '#faebd7', '#a0522d', '#daa520', '#2e8b57']",#8b4513,6404.52,3
18617413,1972.0,1970.0,H x W: 100.6 x 63.6 cm (39 5/8 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Herman Miller, Summer Picnic, August 18, 1972",https://collection.cooperhewitt.org/objects/18617413/,United States,Gift of Various Donors,Stephen Frykholm,18042365,https://collection.cooperhewitt.org/people/18042365/,Boy,https://images.collection.cooperhewitt.org/80023_02776a7258aaaf3a_b.jpg,https://images.collection.cooperhewitt.org/80023_02776a7258aaaf3a_sq.jpg,"['#556b2f', '#000000', '#d2b48c', '#191970', '#eee8aa']",#556b2f,6398.16,4
18617415,1971.0,1970.0,H x W: 100.5 × 63.7 cm (39 9/16 × 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,Summer Picnic,https://collection.cooperhewitt.org/objects/18617415/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/80024_022fd2e74d9d2d00_b.jpg,https://images.collection.cooperhewitt.org/80024_022fd2e74d9d2d00_sq.jpg,"['#6b8e23', '#2f4f4f', '#2f4f4f']",#6b8e23,6401.85,2
18617417,1970.0,1970.0,100.1 x 63.7 cm (39 7/16 x 25 1/16 in.),"screenprint, gloss ink on paper",1981: acquired by Museum,"Summer Picnic, 1970",https://collection.cooperhewitt.org/objects/18617417/,United States,Gift of Various Donors,,,,,https://images.collection.cooperhewitt.org/80025_5e6bff6c588b24c6_b.jpg,https://images.collection.cooperhewitt.org/80025_5e6bff6c588b24c6_sq.jpg,"['#daa520', '#a0522d', '#556b2f', '#ffe4c4', '#808080']",#daa520,6376.37,2
